trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-02-23,6838.9399,2012-07-13,6446.2202,14.6221,-5742.41,-0.0574,141,1.0,1.0,0.0,-5744.41
2,2012-08-08,6944.8901,2014-09-11,9729.8896,13.5722,37798.63,0.401,764,1.0,1.0,9758.13,28038.51
3,2015-01-08,9643.7695,2015-09-07,10148.7998,13.6934,6915.59,0.0524,242,1.0,1.0,1612.72,5300.87
4,2016-08-24,10531.1396,2018-03-20,12261.1904,13.1963,22830.23,0.1643,573,1.0,1.0,5810.21,17018.02
5,2019-04-29,12308.9805,2020-03-20,9080.4902,13.145,-42438.63,-0.2623,326,1.0,1.0,0.0,-42440.63
6,2020-07-24,12919.3096,2022-02-18,15278.6602,9.2391,21798.39,0.1826,574,1.0,1.0,5538.06,16258.33
7,2022-12-13,14345.8799,2023-10-13,15400.0898,9.8399,10373.3,0.0735,304,1.0,1.0,2472.21,7899.1
8,2023-12-27,16727.7695,2025-12-30,24490.4102,9.0589,70320.95,0.4641,734,1.0,1.0,18283.4,52035.55
