trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-02-01,1312.45,2015-08-31,1986.73,76.1934,51375.68,0.5138,1307,10.95,11.98,7706.35,43646.4
2,2015-12-22,2023.15,2016-01-12,1927.83,74.8218,-7132.02,-0.0471,21,11.98,11.83,0.0,-7155.83
3,2016-04-26,2089.8401,2018-12-10,2630.8601,69.0214,37341.95,0.2589,958,11.83,8.58,5601.29,31720.24
4,2019-04-02,2868.24,2020-03-31,2614.6899,63.3091,-16052.02,-0.0884,364,8.58,3.31,0.0,-16063.91
5,2020-07-10,3152.47,2022-03-15,4188.8198,52.5092,54417.87,0.3287,613,3.31,4.4,8162.68,46247.48
6,2023-02-03,4136.6899,2025-04-15,5411.9902,53.1709,67808.85,0.3083,802,4.4,5.76,10171.33,57627.36
7,2025-07-02,6193.8799,2025-12-30,6896.2402,46.4588,32630.83,0.1134,181,5.76,6.41,7831.4,24787.27
