trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-05-16,5437.6001,2012-08-10,5851.5,18.3905,7611.81,0.0761,86,507.19,545.25,0.0,6559.38
2,2013-06-24,6116.2002,2013-10-25,6713.2002,17.5946,10503.95,0.0976,123,545.25,597.77,0.0,9360.93
3,2014-12-16,6182.7002,2015-01-23,6796.6001,19.1042,11728.09,0.0993,38,597.77,656.41,203.06,10270.86
4,2015-08-21,6367.8999,2016-07-12,6682.8999,20.3904,6422.97,0.0495,326,656.41,688.52,0.0,5078.04
5,2018-03-23,6952.6001,2018-05-10,7662.5,19.5994,13913.61,0.1021,48,688.52,758.09,322.72,12144.28
6,2018-10-12,7006.8999,2019-07-30,7686.6001,21.4332,14568.16,0.097,291,758.09,830.93,453.63,12525.51
7,2020-02-28,6796.3999,2021-03-12,6737.0,24.2406,-1439.89,-0.0087,378,830.93,823.73,0.0,-3094.55
8,2022-09-30,6881.6001,2022-12-01,7573.1001,23.7312,16410.13,0.1005,62,823.73,905.78,822.03,13858.59
9,2025-04-08,7702.1001,2025-05-20,8699.2998,23.3337,23268.4,0.1295,42,905.78,1022.12,4864.42,16476.08
