trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-12-27,5900.7002,2012-08-20,7037.02,16.9471,19257.37,0.1926,237,1.0,1.0,4867.87,14387.5
2,2014-08-11,9106.6699,2014-11-26,9894.5996,13.0956,10318.42,0.0865,107,1.0,1.0,2510.22,7806.2
3,2015-06-09,11025.0801,2016-12-06,10685.0,11.7528,-3996.9,-0.0308,546,1.0,1.0,0.0,-3998.9
4,2018-02-12,12238.6299,2019-07-04,12644.3496,10.2609,4163.03,0.0332,507,1.0,1.0,886.74,3274.3
5,2020-02-28,11891.8701,2020-12-17,13691.4902,10.9101,19634.1,0.1513,293,1.0,1.0,4967.23,14664.87
6,2022-02-24,13989.4102,2023-02-02,15275.0,10.6778,13727.26,0.0919,343,1.0,1.0,3356.82,10368.45
7,2023-10-23,14823.0303,2023-11-30,16204.7402,11.0034,15203.47,0.0932,38,1.0,1.0,3746.16,11455.3
8,2025-04-07,18751.75,2025-05-05,23064.2598,9.5088,41006.82,0.23,28,1.0,1.0,10551.8,30453.02
