trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2015-08-25,1898.08,2015-10-29,2088.3501,52.6848,10024.35,0.1002,65,10.95,11.15,2506.09,7496.16
2,2016-01-14,1891.6801,2016-04-19,2096.05,58.1622,11886.62,0.108,96,11.15,11.39,2971.65,8892.42
3,2018-02-09,2601.78,2018-07-19,2809.3701,46.8568,9727.0,0.0798,160,7.39,7.58,2334.48,7377.55
4,2018-11-26,2649.97,2019-04-04,2873.99,49.6753,11128.25,0.0845,129,7.58,7.81,2670.78,8442.08
5,2020-02-28,2916.8999,2020-08-06,3323.1699,48.9445,19884.68,0.1393,160,2.86,3.25,4772.32,15106.25
6,2022-02-23,4324.9302,2023-06-02,4241.0098,37.6078,-3156.06,-0.0194,464,3.25,3.19,0.0,-3162.5
7,2023-10-30,4139.3901,2023-11-16,4497.0801,38.531,13782.15,0.0864,17,3.19,3.47,3307.72,10467.78
8,2025-03-14,5563.8501,2025-06-11,6049.3799,31.1434,15121.03,0.0873,89,3.47,3.77,3629.05,11484.75
