trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-01-04,1277.03,2012-06-04,1278.29,78.3067,98.67,0.001,152,10.95,10.95,24.67,52.1
2,2012-07-03,1365.75,2015-09-02,1916.52,73.2921,40367.08,0.4033,1156,10.95,11.76,6055.06,34289.31
3,2015-11-03,2102.6299,2016-01-05,2013.78,66.8048,-5935.6,-0.0423,63,11.76,11.64,0.0,-5959.0
4,2016-04-04,2073.1899,2016-05-03,2077.1799,64.8904,258.91,0.0019,29,11.64,11.65,64.73,170.9
5,2016-07-05,2095.05,2019-01-03,2491.9199,64.3369,25533.39,0.1894,912,11.65,8.16,3830.01,21683.58
6,2019-03-04,2814.3701,2020-04-02,2458.54,56.9657,-20270.1,-0.1264,395,8.16,2.8,0.0,-20281.05
7,2020-06-02,3064.78,2022-05-03,4159.7798,45.6974,50038.6,0.3573,700,2.8,3.8,7505.79,42526.21
8,2023-06-02,4241.0098,2025-12-30,6896.2402,44.8221,119013.0,0.6261,942,3.8,6.18,17851.95,101151.07
