date,open,high,low,close,volume
2011-01-03,10147.23046875,10226.6796875,10145.5595703125,10192.0703125,15024700
2011-01-04,10196.1201171875,10224.7802734375,10161.2998046875,10178.099609375,18841100
2011-01-05,10188.8701171875,10188.8701171875,9957.8701171875,10054.8203125,17625800
2011-01-06,10071.7001953125,10172.2001953125,10071.7001953125,10099.400390625,19601700
2011-01-07,10115.7900390625,10124.8203125,10064.009765625,10074.830078125,14486600
2011-01-10,10052.76953125,10059.4404296875,9882.48046875,9903.8701171875,20229500
2011-01-11,9932.9501953125,10134.990234375,9932.9501953125,10119.8701171875,16905600
2011-01-12,10127.4599609375,10338.650390625,10127.3798828125,10310.240234375,48071900
2011-01-13,10327.66015625,10352.3603515625,10226.3603515625,10291.91015625,29695500
2011-01-14,10270.669921875,10315.8095703125,10220.3603515625,10301.0498046875,21222200
2011-01-17,10300.6396484375,10316.669921875,10224.419921875,10275.6904296875,12251000
2011-01-18,10283.2900390625,10404.1103515625,10283.2900390625,10382.3203125,22983100
2011-01-19,10393.349609375,10411.1201171875,10227.75,10248.1298828125,24328600
2011-01-20,10217.0703125,10237.16015625,10034.76953125,10075.599609375,29337500
2011-01-21,10082.08984375,10181.490234375,10055.7900390625,10091.580078125,22344200
2011-01-24,10125.1796875,10147.9296875,9943.1904296875,10064.8095703125,27289000
2011-01-25,10087.3603515625,10118.669921875,10042.3095703125,10047.9501953125,31080900
2011-01-26,10084.0498046875,10242.23046875,10082.75,10213.7001953125,24346200
2011-01-27,10236.0400390625,10339.0400390625,10229.58984375,10273.2900390625,26039400
2011-01-28,10285.0703125,10359.1298828125,10234.83984375,10234.83984375,26308300
2011-01-31,10214.3203125,10215.1103515625,10055.73046875,10139.8896484375,22298800
2011-02-01,10177.8095703125,10278.4296875,10175.51953125,10262.7197265625,25217600
2011-02-02,10297.8701171875,10356.4501953125,10208.349609375,10241.4697265625,22465700
2011-02-03,10233.169921875,10284.16015625,10185.3701171875,10269.650390625,23502700
2011-02-04,10285.740234375,10338.740234375,10284.1103515625,10302.349609375,17142900
