date,open,high,low,close,volume
2011-01-04,11558.900390625,11754.7001953125,11558.900390625,11722.599609375,280876800
2011-01-05,11722.5,11741.599609375,11649.900390625,11741.599609375,305592300
2011-01-06,11741.5,11786.900390625,11709.400390625,11716.900390625,298189700
2011-01-07,11717.0,11730.099609375,11674.400390625,11674.400390625,284343400
2011-01-10,11674.2998046875,11674.5,11564.2998046875,11575.2998046875,246273000
2011-01-11,11575.2998046875,11735.2998046875,11575.2998046875,11735.2998046875,342471000
2011-01-12,11735.2001953125,11799.2998046875,11733.900390625,11765.2998046875,339501000
2011-01-13,11765.2998046875,11786.7001953125,11728.900390625,11767.0,369630200
2011-01-14,11767.099609375,11772.400390625,11701.2998046875,11742.400390625,287938800
2011-01-17,11742.400390625,11760.2001953125,11718.5,11741.5,211003700
2011-01-18,11741.5,11830.2998046875,11740.599609375,11830.2998046875,342865300
2011-01-19,11830.2998046875,11855.2001953125,11728.2001953125,11728.2001953125,335490200
2011-01-20,11728.2001953125,11728.2001953125,11502.0,11505.0,353802700
2011-01-21,11504.900390625,11568.0,11483.0,11532.7001953125,284093100
2011-01-24,11532.7998046875,11589.2998046875,11532.7998046875,11573.400390625,246158400
2011-01-25,11573.599609375,11608.0,11473.7998046875,11501.599609375,260013900
2011-01-26,11501.7001953125,11630.5,11500.7001953125,11612.2998046875,311364900
2011-01-27,11612.2001953125,11682.099609375,11607.2001953125,11617.400390625,310595300
2011-01-28,11617.5,11631.900390625,11529.400390625,11546.0,328389400
2011-01-31,11545.900390625,11546.7001953125,11412.099609375,11471.5,297261400
2011-02-01,11471.5,11608.5,11471.5,11608.5,359772300
2011-02-02,11608.400390625,11690.7001953125,11558.0,11606.7001953125,311152500
2011-02-03,11606.599609375,11625.7998046875,11543.2998046875,11575.7998046875,273645200
2011-02-04,11575.7998046875,11668.099609375,11575.7998046875,11666.5,297552600
2011-02-07,11666.400390625,11811.099609375,11666.400390625,11811.099609375,258746800
2011-02-08,11811.099609375,11834.2998046875,11757.5,11830.5,281534600
2011-02-09,11830.599609375,11847.2001953125,11794.900390625,11796.599609375,291107400
2011-02-10,11796.599609375,11796.599609375,11666.599609375,11721.599609375,300191900
2011-02-11,11721.7001953125,11797.7998046875,11665.7001953125,11797.7998046875,300689400
2011-02-14,11797.7001953125,11860.7998046875,11797.5,11833.900390625,227141300
2011-02-15,11834.0,11839.099609375,11729.599609375,11749.7001953125,338750700
2011-02-16,11749.7001953125,11808.7998046875,11749.7001953125,11807.2998046875,317663800
2011-02-17,11807.2001953125,11841.2001953125,11794.400390625,11827.7998046875,383008500
2011-02-18,11827.7001953125,11839.599609375,11779.400390625,11828.2998046875,385399500
2011-02-21,11828.2998046875,11829.099609375,11727.7001953125,11727.7001953125,229073800
2011-02-22,11727.7998046875,11727.7998046875,11557.099609375,11652.400390625,265068500
2011-02-23,11652.2998046875,11652.2998046875,11514.099609375,11521.900390625,291929700
2011-02-24,11522.099609375,11522.099609375,11402.599609375,11409.7001953125,315979100
2011-02-25,11409.7001953125,11609.0,11409.7001953125,11609.0,220520800
2011-02-28,11609.0,11675.5,11586.5,11621.2998046875,328711300
2011-03-01,11621.2998046875,11712.7001953125,11574.099609375,11574.099609375,384833000
2011-03-02,11574.2998046875,11574.2998046875,11440.7001953125,11543.400390625,394144800
2011-03-03,11543.400390625,11652.400390625,11543.400390625,11652.400390625,416650400
2011-03-04,11652.2998046875,11775.2001953125,11652.2001953125,11723.0,334624800
2011-03-07,11723.0,11812.099609375,11689.2001953125,11747.900390625,237259400
2011-03-08,11747.900390625,11786.2998046875,11665.099609375,11743.5,297108700
2011-03-09,11743.5,11787.5,11719.2001953125,11730.2001953125,323042200
2011-03-10,11730.2998046875,11730.2998046875,11504.5,11515.599609375,344454500
2011-03-11,11515.7001953125,11515.7001953125,11395.7998046875,11409.5,340361100
2011-03-14,11409.599609375,11453.0,11345.900390625,11349.7001953125,318802400
2011-03-15,11349.7998046875,11349.7998046875,10970.900390625,11151.2001953125,406496800
2011-03-16,11151.2001953125,11261.5,11033.099609375,11033.099609375,336319900
2011-03-17,11033.099609375,11257.7998046875,11033.099609375,11236.400390625,339021300
2011-03-18,11236.5,11371.7998046875,11236.5,11345.7998046875,616603100
2011-03-21,11345.7998046875,11511.7998046875,11345.7998046875,11511.2001953125,234594500
2011-03-22,11511.2001953125,11539.099609375,11417.7001953125,11441.599609375,238755800
2011-03-23,11441.599609375,11473.7001953125,11400.900390625,11447.400390625,260392400
2011-03-24,11447.400390625,11609.0,11446.900390625,11605.5,335611200
2011-03-25,11605.599609375,11650.7001953125,11603.900390625,11629.2998046875,268959800
2011-03-28,11629.400390625,11667.0,11628.7001953125,11637.400390625,212068900
2011-03-29,11637.400390625,11660.400390625,11593.099609375,11636.400390625,262429900
2011-03-30,11636.2998046875,11707.5,11636.2998046875,11676.400390625,395631300
2011-03-31,11676.2998046875,11699.599609375,11592.0,11592.0,457583900
2011-04-01,11592.0,11708.7001953125,11578.0,11708.7001953125,369367800
2011-04-04,11708.599609375,11767.2998046875,11687.5,11766.599609375,275865800
2011-04-05,11766.599609375,11767.5,11723.2001953125,11737.7001953125,260211200
2011-04-06,11737.599609375,11811.2001953125,11737.5,11781.400390625,310645800
2011-04-07,11781.400390625,11781.400390625,11644.2001953125,11659.400390625,291484200
2011-04-08,11659.400390625,11742.900390625,11659.400390625,11726.2001953125,231839300
2011-04-11,11726.2998046875,11735.400390625,11689.0,11689.7001953125,221966800
2011-04-12,11689.900390625,11689.900390625,11541.0,11541.599609375,238896200
2011-04-13,11541.599609375,11637.400390625,11541.599609375,11615.7998046875,231252100
2011-04-14,11615.7001953125,11616.900390625,11541.2998046875,11603.2001953125,280327800
2011-04-15,11603.2001953125,11682.400390625,11592.2001953125,11679.2001953125,280452100
2011-04-18,11679.2998046875,11691.400390625,11466.7001953125,11490.7998046875,311665000
2011-04-19,11490.7001953125,11587.099609375,11490.7001953125,11574.5,244509600
2011-04-20,11574.5,11756.2001953125,11574.099609375,11756.2001953125,239624800
2011-04-21,11756.099609375,11823.400390625,11756.099609375,11810.5,263622900
2011-04-26,11810.7001953125,11869.400390625,11787.900390625,11869.400390625,252887700
2011-04-27,11869.5,11906.0,11844.900390625,11895.0,265932700
2011-04-28,11894.7998046875,12020.900390625,11894.7001953125,12013.900390625,278929000
2011-05-03,12014.0,12061.400390625,11983.900390625,12014.7998046875,270479400
2011-05-04,12014.900390625,12030.2001953125,11896.2998046875,11909.099609375,320627100
2011-05-05,11909.099609375,11946.7001953125,11815.2998046875,11845.7001953125,309010700
2011-05-06,11845.7001953125,11907.2001953125,11747.0,11907.2001953125,271054100
2011-05-09,11907.2998046875,11937.7998046875,11867.2998046875,11896.099609375,233807900
2011-05-10,11896.0,12062.0,11896.0,12055.2001953125,364043800
2011-05-11,12055.099609375,12089.900390625,12005.900390625,12017.900390625,313163500
2011-05-12,12018.099609375,12018.099609375,11898.099609375,11967.099609375,294633800
2011-05-13,11967.2001953125,12048.0,11967.2001953125,11999.2001953125,214447200
2011-05-16,11999.2001953125,11999.7001953125,11856.099609375,11943.599609375,286467500
